"Step","../output/proxy_Cleaned_date.json - train/loss","../output/proxy_Cleaned_date.json - train/loss__MIN","../output/proxy_Cleaned_date.json - train/loss__MAX"
"610","1.3619","1.3619","1.3619"
"611","1.2597","1.2597","1.2597"
"612","1.3403","1.3403","1.3403"
"613","1.2477","1.2477","1.2477"
"614","1.3722","1.3722","1.3722"
"615","1.3611","1.3611","1.3611"
"616","1.2478","1.2478","1.2478"
"617","1.2489","1.2489","1.2489"
"618","1.3358","1.3358","1.3358"
"619","1.3356","1.3356","1.3356"
"620","1.3237","1.3237","1.3237"
"621","1.2988","1.2988","1.2988"
"622","1.329","1.329","1.329"
"623","1.2962","1.2962","1.2962"
"624","1.299","1.299","1.299"
"625","1.3967","1.3967","1.3967"
"626","1.3238","1.3238","1.3238"
"627","1.3698","1.3698","1.3698"
"628","1.3883","1.3883","1.3883"
"629","1.3849","1.3849","1.3849"
"630","1.3168","1.3168","1.3168"
"631","1.3785","1.3785","1.3785"
"632","1.3328","1.3328","1.3328"
"633","1.3726","1.3726","1.3726"
"634","1.3733","1.3733","1.3733"
"635","1.2885","1.2885","1.2885"
"636","1.3959","1.3959","1.3959"
"637","1.2867","1.2867","1.2867"
"638","1.3874","1.3874","1.3874"
"639","1.2741","1.2741","1.2741"
"640","1.3193","1.3193","1.3193"
"641","1.3355","1.3355","1.3355"
"642","1.3607","1.3607","1.3607"
"643","1.2841","1.2841","1.2841"
"644","1.2936","1.2936","1.2936"
"645","1.3206","1.3206","1.3206"
"646","1.3321","1.3321","1.3321"
"647","1.3427","1.3427","1.3427"
"648","1.34","1.34","1.34"
"649","1.3613","1.3613","1.3613"
"650","1.3891","1.3891","1.3891"
"651","1.329","1.329","1.329"
"652","1.3351","1.3351","1.3351"
"653","1.344","1.344","1.344"
"654","1.3375","1.3375","1.3375"
"655","1.2963","1.2963","1.2963"
"656","1.3103","1.3103","1.3103"
"657","1.3717","1.3717","1.3717"
"658","1.3163","1.3163","1.3163"
"659","1.3809","1.3809","1.3809"
"660","1.2961","1.2961","1.2961"
"661","1.3516","1.3516","1.3516"
"662","1.3267","1.3267","1.3267"
"663","1.3637","1.3637","1.3637"
"664","1.3107","1.3107","1.3107"
"665","1.2597","1.2597","1.2597"
"666","1.3283","1.3283","1.3283"
"667","1.3515","1.3515","1.3515"
"668","1.3469","1.3469","1.3469"
"669","1.3508","1.3508","1.3508"
"670","1.4091","1.4091","1.4091"
"671","1.2455","1.2455","1.2455"
"672","1.3321","1.3321","1.3321"
"673","1.1846","1.1846","1.1846"
"674","1.0345","1.0345","1.0345"
"675","1.1261","1.1261","1.1261"
"676","1.133","1.133","1.133"
"677","1.1225","1.1225","1.1225"
"678","1.1285","1.1285","1.1285"
"679","1.0448","1.0448","1.0448"
"680","1.1706","1.1706","1.1706"
"681","1.1171","1.1171","1.1171"
"682","1.078","1.078","1.078"
"683","1.0454","1.0454","1.0454"
"684","1.0829","1.0829","1.0829"
"685","1.0953","1.0953","1.0953"
"686","1.0806","1.0806","1.0806"
"687","1.0043","1.0043","1.0043"
"688","1.145","1.145","1.145"
"689","1.0807","1.0807","1.0807"
"690","1.0616","1.0616","1.0616"
"691","1.042","1.042","1.042"
"692","1.0517","1.0517","1.0517"
"693","1.0842","1.0842","1.0842"
"694","1.1032","1.1032","1.1032"
"695","1.1071","1.1071","1.1071"
"696","1.0921","1.0921","1.0921"
"697","1.0986","1.0986","1.0986"
"698","1.0273","1.0273","1.0273"
"699","1.0834","1.0834","1.0834"
"700","1.1135","1.1135","1.1135"
"701","1.0948","1.0948","1.0948"
"702","1.0635","1.0635","1.0635"
"703","1.0499","1.0499","1.0499"
"704","1.0659","1.0659","1.0659"
"705","1.0216","1.0216","1.0216"
"706","1.0467","1.0467","1.0467"
"707","1.0821","1.0821","1.0821"
"708","1.0906","1.0906","1.0906"
"709","1.0974","1.0974","1.0974"
"710","1.0424","1.0424","1.0424"
"711","1.0539","1.0539","1.0539"
"712","1.0539","1.0539","1.0539"
"713","1.0626","1.0626","1.0626"
"714","1.0587","1.0587","1.0587"
"715","1.0861","1.0861","1.0861"
"716","1.0861","1.0861","1.0861"
"717","1.13","1.13","1.13"
"718","1.0847","1.0847","1.0847"
"719","1.0342","1.0342","1.0342"
"720","1.168","1.168","1.168"
"721","1.0996","1.0996","1.0996"
"722","1.0586","1.0586","1.0586"
"723","1.0562","1.0562","1.0562"
"724","1.0607","1.0607","1.0607"
"725","1.0873","1.0873","1.0873"
"726","1.0862","1.0862","1.0862"
"727","1.1139","1.1139","1.1139"
"728","1.0893","1.0893","1.0893"
"729","1.0195","1.0195","1.0195"
"730","1.1581","1.1581","1.1581"
"731","1.0905","1.0905","1.0905"
"732","1.161","1.161","1.161"
