"Step","../output/proxy_alpaca_data.json - train/loss","../output/proxy_alpaca_data.json - train/loss__MIN","../output/proxy_alpaca_data.json - train/loss__MAX"
"706","0.3273","0.3273","0.3273"
"707","0.3571","0.3571","0.3571"
"708","0.3489","0.3489","0.3489"
"709","0.3279","0.3279","0.3279"
"710","0.3461","0.3461","0.3461"
"711","0.2412","0.2412","0.2412"
"712","0.2005","0.2005","0.2005"
"713","0.1972","0.1972","0.1972"
"714","0.1922","0.1922","0.1922"
"715","0.1859","0.1859","0.1859"
"716","0.1909","0.1909","0.1909"
"717","0.1973","0.1973","0.1973"
"718","0.1861","0.1861","0.1861"
"719","0.1726","0.1726","0.1726"
"720","0.1864","0.1864","0.1864"
"721","0.2046","0.2046","0.2046"
"722","0.1836","0.1836","0.1836"
"723","0.1816","0.1816","0.1816"
"724","0.1867","0.1867","0.1867"
"725","0.1942","0.1942","0.1942"
"726","0.1709","0.1709","0.1709"
"727","0.197","0.197","0.197"
"728","0.1827","0.1827","0.1827"
"729","0.1848","0.1848","0.1848"
"730","0.1851","0.1851","0.1851"
"731","0.1778","0.1778","0.1778"
