"Step","../output/proxy_alpacmygavel.json_2.7B - train/loss","../output/proxy_alpacmygavel.json_2.7B - train/loss__MIN","../output/proxy_alpacmygavel.json_2.7B - train/loss__MAX"
"364","0.004","0.004","0.004"
"365","0.0046","0.0046","0.0046"
"366","0.004","0.004","0.004"
"367","0.003","0.003","0.003"
"368","0.004","0.004","0.004"
"369","0.0038","0.0038","0.0038"
"370","0.0048","0.0048","0.0048"
"371","0.0038","0.0038","0.0038"
"372","0.0064","0.0064","0.0064"
"373","0.0049","0.0049","0.0049"
"374","0.0098","0.0098","0.0098"
"375","0.0055","0.0055","0.0055"
"376","0.0041","0.0041","0.0041"
"377","0.0113","0.0113","0.0113"
"378","0.0052","0.0052","0.0052"
"379","0.0067","0.0067","0.0067"
"380","0.0055","0.0055","0.0055"
"381","0.0055","0.0055","0.0055"
"382","0.005","0.005","0.005"
"383","0.004","0.004","0.004"
"384","0.0043","0.0043","0.0043"
"385","0.0052","0.0052","0.0052"
"386","0.0085","0.0085","0.0085"
"387","0.0038","0.0038","0.0038"
"388","0.0045","0.0045","0.0045"
"389","0.0036","0.0036","0.0036"
"390","0.0048","0.0048","0.0048"
"391","0.0063","0.0063","0.0063"
"392","0.0072","0.0072","0.0072"
"393","0.0046","0.0046","0.0046"
"394","0.0049","0.0049","0.0049"
"395","0.0045","0.0045","0.0045"
"396","0.0045","0.0045","0.0045"
"397","0.0041","0.0041","0.0041"
"398","0.0038","0.0038","0.0038"
"399","0.0037","0.0037","0.0037"
"400","0.0034","0.0034","0.0034"
"401","0.0043","0.0043","0.0043"
"402","0.004","0.004","0.004"
"403","0.0036","0.0036","0.0036"
"404","0.0033","0.0033","0.0033"
"405","0.0043","0.0043","0.0043"
