"Step","../output/proxy_alpacmygavel.json - train/loss","../output/proxy_alpacmygavel.json - train/loss__MIN","../output/proxy_alpacmygavel.json - train/loss__MAX"
"325","0.0086","0.0086","0.0086"
"326","0.0063","0.0063","0.0063"
"327","0.0082","0.0082","0.0082"
"328","0.0085","0.0085","0.0085"
"329","0.0079","0.0079","0.0079"
"330","0.0091","0.0091","0.0091"
"331","0.0088","0.0088","0.0088"
"332","0.0096","0.0096","0.0096"
"333","0.0094","0.0094","0.0094"
"334","0.0077","0.0077","0.0077"
"335","0.0133","0.0133","0.0133"
"336","0.0122","0.0122","0.0122"
"337","0.0102","0.0102","0.0102"
"338","0.0117","0.0117","0.0117"
"339","0.0108","0.0108","0.0108"
"340","0.0141","0.0141","0.0141"
"341","0.0112","0.0112","0.0112"
"342","0.0099","0.0099","0.0099"
"343","0.0081","0.0081","0.0081"
"344","0.0071","0.0071","0.0071"
"345","0.0073","0.0073","0.0073"
"346","0.0093","0.0093","0.0093"
"347","0.0075","0.0075","0.0075"
"348","0.0101","0.0101","0.0101"
"349","0.0076","0.0076","0.0076"
"350","0.0111","0.0111","0.0111"
"351","0.009","0.009","0.009"
"352","0.0098","0.0098","0.0098"
"353","0.0078","0.0078","0.0078"
"354","0.0113","0.0113","0.0113"
"355","0.0088","0.0088","0.0088"
"356","0.0089","0.0089","0.0089"
"357","0.0096","0.0096","0.0096"
"358","0.0094","0.0094","0.0094"
"359","0.0079","0.0079","0.0079"
"360","0.0099","0.0099","0.0099"
"361","0.0061","0.0061","0.0061"
"362","0.0061","0.0061","0.0061"
"363","0.0056","0.0056","0.0056"
"364","0.0074","0.0074","0.0074"
"365","0.0068","0.0068","0.0068"
"366","0.0046","0.0046","0.0046"
"367","0.0074","0.0074","0.0074"
"368","0.0075","0.0075","0.0075"
"369","0.0064","0.0064","0.0064"
"370","0.0075","0.0075","0.0075"
"371","0.0065","0.0065","0.0065"
"372","0.007","0.007","0.007"
"373","0.0083","0.0083","0.0083"
"374","0.0084","0.0084","0.0084"
"375","0.0065","0.0065","0.0065"
"376","0.0066","0.0066","0.0066"
"377","0.0102","0.0102","0.0102"
"378","0.0096","0.0096","0.0096"
"379","0.0085","0.0085","0.0085"
"380","0.0071","0.0071","0.0071"
"381","0.0043","0.0043","0.0043"
"382","0.0066","0.0066","0.0066"
"383","0.0059","0.0059","0.0059"
"384","0.0065","0.0065","0.0065"
"385","0.0054","0.0054","0.0054"
"386","0.0073","0.0073","0.0073"
"387","0.0057","0.0057","0.0057"
"388","0.0056","0.0056","0.0056"
"389","0.0061","0.0061","0.0061"
"390","0.0071","0.0071","0.0071"
"391","0.0076","0.0076","0.0076"
"392","0.0087","0.0087","0.0087"
"393","0.0067","0.0067","0.0067"
"394","0.0075","0.0075","0.0075"
"395","0.008","0.008","0.008"
"396","0.008","0.008","0.008"
"397","0.0056","0.0056","0.0056"
"398","0.0056","0.0056","0.0056"
"399","0.0047","0.0047","0.0047"
"400","0.0048","0.0048","0.0048"
"401","0.0054","0.0054","0.0054"
"402","0.0055","0.0055","0.0055"
"403","0.0049","0.0049","0.0049"
"404","0.0043","0.0043","0.0043"
"405","0.0073","0.0073","0.0073"
"406","0.0057","0.0057","0.0057"
"407","0.005","0.005","0.005"
"408","0.0054","0.0054","0.0054"
"409","0.0053","0.0053","0.0053"
"410","0.0054","0.0054","0.0054"
"411","0.005","0.005","0.005"
"412","0.0057","0.0057","0.0057"
"413","0.0055","0.0055","0.0055"
"414","0.0062","0.0062","0.0062"
"415","0.0042","0.0042","0.0042"
"416","0.0041","0.0041","0.0041"
"417","0.0044","0.0044","0.0044"
"418","0.0038","0.0038","0.0038"
"419","0.0037","0.0037","0.0037"
"420","0.0048","0.0048","0.0048"
"421","0.0066","0.0066","0.0066"
"422","0.0045","0.0045","0.0045"
"423","0.0053","0.0053","0.0053"
"424","0.0058","0.0058","0.0058"
"425","0.0045","0.0045","0.0045"
"426","0.0042","0.0042","0.0042"
"427","0.0074","0.0074","0.0074"
"428","0.0059","0.0059","0.0059"
"429","0.0037","0.0037","0.0037"
"430","0.0044","0.0044","0.0044"
"431","0.0059","0.0059","0.0059"
"432","0.0056","0.0056","0.0056"
"433","0.0042","0.0042","0.0042"
"434","0.0039","0.0039","0.0039"
"435","0.0036","0.0036","0.0036"
"436","0.0046","0.0046","0.0046"
"437","0.0045","0.0045","0.0045"
"438","0.0048","0.0048","0.0048"
"439","0.0027","0.0027","0.0027"
"440","0.0038","0.0038","0.0038"
"441","0.0036","0.0036","0.0036"
"442","0.0043","0.0043","0.0043"
"443","0.0037","0.0037","0.0037"
"444","0.0039","0.0039","0.0039"
"445","0.0044","0.0044","0.0044"
"446","0.0068","0.0068","0.0068"
"447","0.0038","0.0038","0.0038"
"448","0.0045","0.0045","0.0045"
"449","0.0048","0.0048","0.0048"
"450","0.0045","0.0045","0.0045"
"451","0.0038","0.0038","0.0038"
"452","0.0032","0.0032","0.0032"
"453","0.0035","0.0035","0.0035"
